id,message
2097,"Liberia profile: Key facts, figures and dates http://t.co/2pOwzUpq"
3524,"I am very excited Lawrence thanks for the great job, been online all day monitoring through you."
4748,"PRINCE JOHNSON IS SHOWING SOME STRENGTH IN THIS ELECTIONS OH, HE'S BEEN CONSISTENTLY AHEAD OF BRUMSKINE, THOUGH IT'S TOO EARLY TO PREDICT ANYTHING, BUT BRUMSKINE SEEMS TO HAVE LOST HIS MOJO."
4617,I know .....same here lol
2527,"RT @DestinationLIB: President Ellen Johnson-Sirleaf, a Harvard-trained economist, is the 1st elected female head of state on the contine ..."
498,@Sentletse Hopefully Tubman and his running mate George Weah survive the first round of voting. #Liberia #Liberia2011
3890,Just got interviewed for a radio program produced by the Columbia University journalism department. #Liberia2011 link to come
3270,"Yes, Gray was told to not use his vehicles as it has CDC labels but he counter argues that all parties should have in turn taken their bill boards off the street,"
2272,"soo Liberia and Libya sound alittle alike wish i new that wheni misheard #npr say a nobel peace winner was the last president of ""libya"""
2505,"@Ushahidi has done it again! real-time reports of #Liberia election day events http://t.co/MOQVgLdd a bit unfiltered, but great news streams"
3462,"Excitement as election fever grips Liberia (CNN): Share With Friends:  |  | World News - Africa News, News F... http://t.co/uTm7u1yi"
1684,Today is the big day. Question: Can 8 hold? Answer: In few hours we shall see. Best wishes for mama Liberia!
2855,Jammin to some frank ocean while writing about Liberia..
137,@Axel_Soul ok its about a country in africa caslled liberia 3-5 pages =)
3104,RT @UNPeacekeeping: Liberia: Our new #Facebook album has #photos from our Mission in #Liberia (UNMIL) of voters earlier today http://t.c ...
1000,IDEA para VIAJAR a Liberia: Capital: Monrovia Idioma Oficial: Ingl___°Ø___˝s Gobierno: Rep___°Ø____blica Horario: GMT Moneda: D___°Ø____... http://t.co/FyFLhzJr
3487,POLLING OFFICIALLY CLOSED!
2550,Praying that #Liberia has a safe and HONEST #election today! #Lordhelpus
2725,Today is Liberia election. ..God i put my country in ur hands..help them make good decision lord
653,Election day in Liberia! Praying for safety and peace. Stand UP Liberia!!
647,Good luck to Liberia as voting starts today. Johnson-Sirleaf has already received a boost with the Nobel prize.
1058,RT @MalinBarno: Det finns #hopp om en b___°Ø___°Ëttre v___°Ø___°Ërld  Lyssna p___°Ø___£§ reportaget fr___°Ø___£§n Liberia i #P1morgon #r___°Ø____dakorset
1273,Liberia: Election monitoring tools in action: http://t.co/3qskLqNo
1106,"RT @globalvoices: RT @zito_alex: If you only read one article on the #Liberia #Elections, read this thoughtful anthology @globalvoices h ..."
1370,Project Manager (Mining/Concentrator Plant) - Liberia - LIBERIA http://t.co/M7W9DJiQ
3946,Lawrence your people waiting for you yahhhhh.....we keep refreshing... Let me sing our song of the 80s: Your children crying ooo Lawrence ohh you better wake up ooo Lawrence wake  up ooooo sayyyyyyy
2677,"RT @UNPeacekeeping: As Liberians head to the polls, #UN at the ready to help with security http://t.co/nqhA8oNG via @UN_News_Centre #Lib ..."
249,Liberia Nobel-winning president faces competition (AP) | Definition ... http://t.co/4tIMju3R
482,Liberia - Ein Kreuzchen f___°Ø____r den    http://t.co/hmUidfgj
1054,Largas filas en el inicio de las elecciones de Liberia: La flamante Premio Nobel de la Paz Ellen Johnson Sirleaf... http://t.co/2ny8pS1p
4848,Can anyone confirm that George Weah's vote was actually invalidated? How could they tell that the ballot belonged to him?
3747,"Liberia ends peaceful vote, braces for results http://t.co/pfddhJMd"
1241,RT @sarankjones: RT @DestinationLIB: To report any election or polling issues send an SMS msg to: 0112316932130 #Liberia #LiberiaElections
3979,#Liberia: Nobel Laureate Sirleaf faces election challenge- opponent wd welcome return of war criminal  Charles Taylor  http://t.co/Yobyl324
3984,"LA PRESIDENTA DE LIBERIA, ELLEN JOHNSON-SIRLEAF, QUIEN ES UNA DE LAS TRES GANADORAS  DEL PREMIO NOBEL DE LA PAZ,... http://t.co/MYOE3i5h"
2407,RT @HUMNEWS-(News Brief) #Liberia votes in second post-war #elections  http://t.co/I3TGpPYI + stories fr/ #Myanmar #Pakistan more  @HUMNEWS
947,Ellen Johnson Sirleaf had promised to only serve one term when she became Africa's first woman president in 2005.  #Liberiaelection
2629,"Polls are now open in Liberia. Here's to that rarest of things ""African democracy""!"
2532,RT @texasinafrica: Turnout appears to be strong in Liberia's presidential election: http://t.co/tdcRZFhe
3616,RT @allafrica #liberia Voters Defy Rains to Turn Out at Polls: http://t.co/5K3A2ml2
2849,it's yet to be authenticated Philip G Nyour Jr.
1614,name of politics. The time to pray is over because ballot boxes were pre-stuffed and ballots were pre-marked in advance. Let's GET READY TO START A NATIONAL PRAYER RETREAT for the aftermath if the slightest inkling of cheating is verified
4678,In all fairness I think CWB inaction from 2005 2nd round is still affecting him.
3608,"""Monkey still working let baboon wait small,"" declares President of #Liberia in campaign slogan.  http://t.co/udJAk76B via @latimesworld"
41,"In Liberia Race, a Soccer Star Attacks http://t.co/DmODiHzi"
32,Liberia's Johnson-Sirleaf seeks new term in tight poll: Supporters of Nobel Peace Prize laureate and Liberian Pr... http://t.co/3c48V3fU
2297,LIBERIA: Long queues as polling stations open in Liberia:                                       Liberia         ... http://t.co/3cWB2nQ3
367,"RT @USEmbPretoria: Via @GlobalVoices, Liberia's elections: http://t.co/YwbAh1X6 | @Ushahidi's #Liberia2011 platform: http://t.co/BgAV3v7n"
4121,cant see it
3785,RT @AfricanNewsbot: Voters Defy Rains to Turn Out at Polls: Thousands of Liberians are bracing showers and rains ac... http://t.co/RpHFj ...
4243,"Correction v @lkpargoi (Thanks!) Sirleaf's home county is Bomi not #Gbapolu, as RT'ed: http://t.co/UyeLw0z9 cc @sarankjones #Liberia #Africa"
588,"#Liberia 1er tour: r___°Ø___˝election incertaine de H.J.Sirleaf http://t.co/fjretYTa  - ""La f___°Ø___°Ècheuse ing___°Ø___˝rence du comit___°Ø___˝ Nobel"" http://t.co/yScAE13j"
624,KaburuTZ | EA News Liberia: 'We Want Peaceful Election' - African Union Observers: The African Union Observer te... http://t.co/JPuyA7n0
4375,RT @UN_Spokesperson: #UNSG welcomes the smooth holding of the presidential and legislative elections in Liberia today http://t.co/BSgiISCE
3168,"A la t___°Ø____te du Liberia, Mme Johnson-Sirleaf brigue un deuxi___°Ø___°ßme mandat - Le Monde: Le MondeA la t___°Ø____te du Liberia, Mm... http://t.co/TOBFtBQh"
551,Liberia: Pr___°Ø___°Ësidentschaftswahl mit Friedensnobelpreistr___°Ø___°Ëgerin: In einem Nachkriegsland sind die zweiten Wahlen of... http://t.co/N43Ypkr4
1676,@sarankjones That's a lot of voters at one station!! #Liberia2011
461,RT @AJEnglish: How will the #Nobel Peace Prize awarded to Ellen #Johnson-Sirleaf impact #Liberia's elections? http://t.co/OqwMC8cv
868,"RT @bonetjoana: La lucha por la supervivencia como presidenta de Liberia de Ellen Johnson Sirleaf, la primera presidenta de ___°Ø___Åfrica http: ..."
3025,"My people ur come ohhhh, Amb. Weah just did it again Ohhh. Imagine with all the voter education on television n radio, he has experienced difficulties in voting. I am watching power TV Amb. Weah seem paranoid. He left from behind the voting booth to ask a question...""that if he vote, using his index/thumb to vote, whether the ink won't touch there other candidates? Because he is using his finger to vote. Why should an educated man use his thumb or index to vote when U have pens available in the booth? He's afraid that his vote might be invalid...lol."
653,Election day in Liberia! Praying for safety and peace. Stand UP Liberia!!
2488,@sarankjones hey saran! looking fwd to your tweets about the elections in Liberia-stay well my dear!
2167,#Liberia Pres Sirleaf faces stiff competition as Liberians go to the polls. http://t.co/2Yp20HS5
3190,"My people ur come ohhhh, Amb. Weah just did it again Ohhh. Imagine with all the voter education on television n radio, he has experienced difficulties in voting. I am watching power TV Amb. Weah seem paranoid. He left from behind the voting booth to ask a question...""that if he vote, using his index/thumb to vote, whether the ink won't touch there other candidates? Because he is using his finger to vote. Why should an educated man use his thumb or index to vote when U have pens available in the booth? He's afraid that his vote might be invalid...lol."
449,Liberia w___°Ø___°Ëhlt neues Staatsoberhaupt:  http://t.co/hZT0iDOE
943,Largas filas en el inicio de las elecciones de Liberia: La flamante Premio Nobel de la Paz Ellen Johnson Sirleaf... http://t.co/dFXq4gnS
1083,Liberia: &apos;We Want Peaceful Election in Liberia&apos; - AU Observer Mission___°È_°È_________ http://t.co/1uwaB1be #LIBERIA
2025,"Amatora muri Liberia: Muri LIberia hazindukiye amatora y'umukuru w'igihugu, yitabiriwe n'abantu benshi nubwo har... http://t.co/YEeRlCfv"
1860,RT @DeySayMag: Elections day in Liberia!!! Please pray all goes well & democracy rules
624,KaburuTZ | EA News Liberia: 'We Want Peaceful Election' - African Union Observers: The African Union Observer te... http://t.co/JPuyA7n0
3238,Since four a.m. this morning they waited patiently. The process has been peaceful and orderly. We are a decent people. I am proud of my people. Ina the next four hours the count will begin. Standby.
1969,RT @howden_africa: Stray dogs roam the tennis court and deflated basketballs float in foetid water in the pool. Taylor's palace fallen o ...
2731,RT @nubiancounsel: Good luck #Liberia with the elections.  Please keep the peace...
2187,RT @liberiaelection: half way through voting in Liberia and so far everything looks good. The day is peaceful and people are excited abo ...
3634,"paul was the specimen ballot caught wih a unity party partizan or a cdc partizan, i want to know"
1459,@jbernardk2 wishing Liberia all the best in today's election.
2036,Liberia: Polls open in 2nd election since civil war's end; Nobel laureate president challenged:  http://t.co/l0GNbyBZ
3125,#Friedensnobelpreistr___°Ø___°Ëgerin Ellen Johnson #Sirleaf droht bei den Wahlen in #Liberia die Abwahl. http://t.co/bVWIB1eo
4429,"RT @AlanFisher: Hamas prisoner swap, Iran assassination plot,  Liberia elections, Sirte developments - thank goodness for #aljazeera #bu ..."
